total_income,owner_income,renter_income,year,metro_name,state
61262,80405,43470,2023,Abilene,TX
21290,25398,15352,2023,Aguadilla,PR
70125,89206,39937,2023,Akron,OH
53056,72607,38149,2023,Albany,GA
70548,86024,50769,2023,Albany,OR
82410,104254,55438,2023,Albany,NY
67640,81522,46623,2023,Albuquerque,NM
52390,70284,32415,2023,Alexandria,LA
81159,100805,48137,2023,Allentown,PA
54002,65318,29902,2023,Altoona,PA
63994,87241,41071,2023,Amarillo,TX
72007,95828,43540,2023,Ames,IA
79969,104065,40896,2023,Amherst Town,MA
94150,118837,60812,2023,Anchorage,AK
83754,115378,46264,2023,Ann Arbor,MI
50780,61892,30083,2023,Anniston,AL
83966,101521,51656,2023,Appleton,WI
27118,31290,19755,2023,Arecibo,PR
67837,80320,48386,2023,Asheville,NC
67364,90531,34028,2023,Athens,GA
86505,106078,57433,2023,Atlanta,GA
80073,94588,50559,2023,Atlantic City,NJ
57580,80291,27921,2023,Auburn,AL
67152,85428,36556,2023,Augusta,GA
98508,129560,65380,2023,Austin,TX
68893,89555,45916,2023,Bakersfield,CA
94289,119996,54382,2023,Baltimore,MD
66333,77190,43964,2023,Bangor,ME
89893,103042,47924,2023,Barnstable Town,MA
64550,85004,33144,2023,Baton Rouge,LA
57514,70650,34752,2023,Battle Creek,MI
58675,71884,30150,2023,Bay City,MI
62896,76839,39147,2023,Beaumont,TX
52437,61045,28583,2023,Beckley,WV
74884,96715,47428,2023,Bellingham,WA
91658,103943,62828,2023,Bend,OR
70849,90707,46012,2023,Billings,MT
64035,84518,37279,2023,Binghamton,NY
69284,85072,41239,2023,Birmingham,AL
83440,103394,40018,2023,Bismarck,ND
61309,79529,34443,2023,Blacksburg,VA
77200,103171,40606,2023,Bloomington,IL
58666,90769,34883,2023,Bloomington,IN
82526,97431,57441,2023,Boise City,ID
110697,144876,66891,2023,Boston,MA
95363,130656,57152,2023,Boulder,CO
60620,80656,38218,2023,Bowling Green,KY
91158,111452,70647,2023,Bozeman,MT
99609,117575,61161,2023,Bremerton,WA
111058,148244,60457,2023,Bridgeport,CT
52210,64391,35720,2023,Brownsville,TX
69235,78899,41509,2023,Brunswick,GA
69861,88085,41989,2023,Buffalo,NY
65633,77599,50367,2023,Burlington,NC
95497,113919,56513,2023,Burlington,VT
63774,75224,39487,2023,Canton,OH
71547,79962,52111,2023,Cape Coral,FL
66427,79021,36207,2023,Cape Girardeau,MO
73077,87065,48889,2023,Carson City,NV
73203,82040,51131,2023,Casper,WY
73569,89370,41673,2023,Cedar Rapids,IA
75875,84118,60048,2023,Chambersburg,PA
62092,91418,29844,2023,Champaign,IL
55415,64546,34818,2023,Charleston,WV
85165,99313,60268,2023,Charleston,SC
81262,100548,55462,2023,Charlotte,NC
92265,112108,56170,2023,Charlottesville,VA
68677,85008,45956,2023,Chattanooga,TN
75112,89039,54409,2023,Cheyenne,WY
87071,107302,55775,2023,Chicago,IL
63222,86965,40480,2023,Chico,CA
77844,100518,46122,2023,Cincinnati,OH
67082,80825,50579,2023,Clarksville,TN
67586,87901,39187,2023,Cleveland,OH
61033,68458,46797,2023,Cleveland,TN
73456,86391,54022,2023,Coeur d'Alene,ID
54680,90284,36091,2023,College Station,TX
89792,107774,61207,2023,Colorado Springs,CO
69375,94538,41934,2023,Columbia,MO
67189,81181,42529,2023,Columbia,SC
54661,76009,36172,2023,Columbus,GA
81832,93794,46023,2023,Columbus,IN
77390,104003,50155,2023,Columbus,OH
62499,79025,50825,2023,Corpus Christi,TX
73047,115446,39282,2023,Corvallis,OR
81996,94098,60366,2023,Crestview,FL
86860,113948,60659,2023,Dallas,TX
65143,80525,41528,2023,Dalton,GA
72915,81329,60667,2023,Daphne,AL
71262,87171,38539,2023,Davenport,IA
67070,86013,45108,2023,Dayton,OH
72956,86036,41046,2023,Decatur,AL
58297,77532,34992,2023,Decatur,IL
67176,74635,46775,2023,Deltona,FL
103055,130198,69870,2023,Denver,CO
82728,101176,49132,2023,Des Moines,IA
72574,88896,43200,2023,Detroit,MI
57405,68431,37943,2023,Dothan,AL
72910,87234,45502,2023,Dover,DE
71940,86039,38840,2023,Dubuque,IA
70208,84105,37700,2023,Duluth,MN
83280,114281,53245,2023,Durham,NC
46657,51240,32455,2023,Eagle Pass,TX
75183,86914,48061,2023,Eau Claire,WI
60243,85710,41150,2023,El Centro,CA
64904,78820,41009,2023,Elizabethtown,KY
67188,81720,36836,2023,Elkhart,IN
59617,77057,31143,2023,Elmira,NY
59037,71777,40868,2023,El Paso,TX
63161,82362,40262,2023,Enid,OK
60663,73913,35936,2023,Erie,PA
70374,86453,45446,2023,Eugene,OR
65073,81453,38506,2023,Evansville,IN
86391,102622,60622,2023,Fairbanks,AK
72889,108179,45636,2023,Fargo,ND
57324,67889,41353,2023,Farmington,NM
61220,75051,47044,2023,Fayetteville,NC
77695,101253,52421,2023,Fayetteville,AR
71738,85984,48593,2023,Flagstaff,AZ
60027,75621,31212,2023,Flint,MI
49974,62172,31254,2023,Florence,SC
61606,75202,41473,2023,Florence,AL
71285,84353,42268,2023,Fond du Lac,WI
88182,111827,59516,2023,Fort Collins,CO
58609,71587,36918,2023,Fort Smith,AR
66317,82617,36903,2023,Fort Wayne,IN
71140,92920,46140,2023,Fresno,CA
52192,63246,25237,2023,Gadsden,AL
59290,87499,37606,2023,Gainesville,FL
77891,101996,51322,2023,Gainesville,GA
76725,87442,50331,2023,Gettysburg,PA
73247,85695,41231,2023,Glens Falls,NY
55461,72729,40536,2023,Goldsboro,NC
71529,98401,40485,2023,Grand Forks,ND
70919,88230,43271,2023,Grand Island,NE
64722,84469,46684,2023,Grand Junction,CO
77979,90676,47706,2023,Grand Rapids,MI
64170,72399,46031,2023,Grants Pass,OR
66454,80169,42420,2023,Great Falls,MT
91047,109139,51689,2023,Greeley,CO
76171,94160,47430,2023,Green Bay,WI
63280,79871,41785,2023,Greensboro,NC
59946,79692,38603,2023,Greenville,NC
69413,81902,45731,2023,Greenville,SC
21345,24125,11366,2023,Guayama,PR
60114,73412,42313,2023,Gulfport,MS
75369,90124,42389,2023,Hagerstown,MD
54417,74899,30353,2023,Hammond,LA
66429,89879,49147,2023,Hanford,CA
76758,95212,48242,2023,Harrisburg,PA
76250,91034,52951,2023,Harrisonburg,VA
92176,120316,48327,2023,Hartford,CT
55336,67353,41148,2023,Hattiesburg,MS
76866,91897,60579,2023,Helena,MT
58164,68063,41238,2023,Hickory,NC
80683,95401,53503,2023,Hilton Head Island,SC
60732,69673,50401,2023,Hinesville,GA
53777,58900,34124,2023,Homosassa Springs,FL
52275,61987,34366,2023,Hot Springs,AR
60119,68176,44301,2023,Houma,LA
79463,104775,51831,2023,Houston,TX
57815,70167,31063,2023,Huntington,WV
84929,102768,53486,2023,Huntsville,AL
75824,91623,46518,2023,Idaho Falls,ID
77947,99214,51402,2023,Indianapolis,IN
71905,102020,40031,2023,Iowa City,IA
67247,102360,44629,2023,Ithaca,NY
63338,74169,35547,2023,Jackson,MI
58592,75459,34240,2023,Jackson,MS
59532,69825,40033,2023,Jackson,TN
77044,94437,52926,2023,Jacksonville,FL
67597,81856,49082,2023,Jacksonville,NC
73440,89955,42885,2023,Janesville,WI
68629,81266,39797,2023,Jefferson City,MO
56846,70250,40419,2023,Johnson City,TN
55748,67547,28292,2023,Johnstown,PA
58550,78431,35968,2023,Jonesboro,AR
57887,71630,35804,2023,Joplin,MO
83691,107969,60049,2023,Kahului,HI
67191,87412,46625,2023,Kalamazoo,MI
66788,86156,43805,2023,Kankakee,IL
79842,101164,51781,2023,Kansas City,MO
83053,100146,52592,2023,Kennewick,WA
74886,97005,49818,2023,Kenosha,WI
71013,88018,52016,2023,Killeen,TX
53794,61278,35453,2023,Kingsport,TN
85878,102773,49314,2023,Kingston,NY
95839,117057,60220,2023,Kiryas Joel,NY
69872,84218,41950,2023,Knoxville,TN
61267,77271,34166,2023,Kokomo,IN
71312,89493,47214,2023,La Crosse,WI
57311,71180,35338,2023,Lafayette,LA
61349,84690,36582,2023,Lafayette,IN
65122,79914,32374,2023,Lake Charles,LA
55954,60143,42102,2023,Lake Havasu City,AZ
66909,77152,50095,2023,Lakeland,FL
80067,95320,54644,2023,Lancaster,PA
70007,86097,41041,2023,Lansing,MI
60204,73063,37346,2023,Laredo,TX
56451,68705,33513,2023,Las Cruces,NM
75065,95390,54971,2023,Las Vegas,NV
66997,98508,39561,2023,Lawrence,KS
56680,71416,42477,2023,Lawton,OK
78824,89240,51050,2023,Lebanon,PA
71005,85516,37965,2023,Lewiston,ID
63404,78808,36485,2023,Lewiston,ME
70027,96365,40568,2023,Lexington,KY
116297,131896,71676,2023,Lexington Park,MD
66891,87028,35716,2023,Lima,OH
71163,100053,46108,2023,Lincoln,NE
66225,84279,39678,2023,Little Rock,AR
85111,106483,53324,2023,Logan,UT
63956,81966,43430,2023,Longview,TX
70959,92182,50505,2023,Longview,WA
91960,128258,67832,2023,Los Angeles,CA
68921,84477,39848,2023,Louisville/Jefferson County,KY
57093,83988,41334,2023,Lubbock,TX
67050,78901,42290,2023,Lynchburg,VA
59750,77819,35688,2023,Macon,GA
82132,113187,50914,2023,Madison,WI
103727,130209,62168,2023,Manchester,NH
63033,87417,45922,2023,Manhattan,KS
69016,93134,40510,2023,Mankato,MN
56664,66897,35527,2023,Mansfield,OH
20939,27208,13172,2023,Mayag�ez,PR
53661,62833,37181,2023,McAllen,TX
71666,83056,53426,2023,Medford,OR
64025,86232,41637,2023,Memphis,TN
57570,81482,40343,2023,Merced,CA
76271,93389,57082,2023,Miami,FL
62868,75237,40857,2023,Michigan City,IN
73074,84078,36589,2023,Midland,MI
92934,107734,61309,2023,Midland,TX
77006,102529,46947,2023,Milwaukee,WI
95102,117257,56393,2023,Minneapolis,MN
72073,96522,51715,2023,Minot,ND
73324,90944,47314,2023,Missoula,MT
55352,70258,32852,2023,Mobile,AL
82758,100236,63421,2023,Modesto,CA
50286,70715,26961,2023,Monroe,LA
71506,82286,32089,2023,Monroe,MI
62362,77106,38725,2023,Montgomery,AL
59045,80035,36207,2023,Morgantown,WV
58401,68099,38906,2023,Morristown,TN
91234,106382,57194,2023,Mount Vernon,WA
55206,69015,36628,2023,Muncie,IN
61189,68705,36112,2023,Muskegon,MI
68988,75665,45808,2023,Myrtle Beach,SC
104686,140449,76804,2023,Napa,CA
90072,101579,56313,2023,Naples,FL
84685,103418,58627,2023,Nashville,TN
80733,110481,52126,2023,New Haven,CT
61000,80958,36926,2023,New Orleans,LA
95220,135107,62791,2023,New York,NY
62460,75385,36090,2023,Niles,MI
78914,85202,59690,2023,North Port,FL
82652,105220,43694,2023,Norwich,CT
58606,63361,45416,2023,Ocala,FL
66608,77217,48965,2023,Odessa,TX
100461,114541,62587,2023,Ogden,UT
69895,91633,44350,2023,Oklahoma City,OK
93170,110812,64427,2023,Olympia,WA
81376,105244,49629,2023,Omaha,NE
77378,92012,57247,2023,Orlando,FL
69957,93640,42892,2023,Oshkosh,WI
61761,77859,37790,2023,Owensboro,KY
107667,132879,77010,2023,Oxnard,CA
61699,77833,35946,2023,Paducah,KY
78575,86415,49427,2023,Palm Bay,FL
69690,76349,55673,2023,Panama City,FL
54906,64294,30725,2023,Parkersburg,WV
78315,87144,58620,2023,Pensacola,FL
68504,83974,35285,2023,Peoria,IL
86867,108810,52294,2023,Philadelphia,PA
85700,100999,61499,2023,Phoenix,AZ
78057,90913,44107,2023,Pinehurst,NC
72532,89571,42151,2023,Pittsburgh,PA
77498,95422,43382,2023,Pittsfield,MA
68495,86788,36414,2023,Pocatello,ID
20978,28800,11268,2023,Ponce,PR
92117,106891,57880,2023,Portland,ME
94925,119483,62290,2023,Portland,OR
68316,76546,50154,2023,Port St. Lucie,FL
67245,75353,49177,2023,Prescott Valley,AZ
83330,110915,48085,2023,Providence,RI
100791,121183,63290,2023,Provo,UT
65161,75976,45743,2023,Pueblo,CO
71806,75536,53696,2023,Punta Gorda,FL
73978,88964,43467,2023,Racine,WI
96096,121340,62679,2023,Raleigh,NC
77164,91755,46619,2023,Rapid City,SD
75675,94258,40719,2023,Reading,PA
75949,88987,56217,2023,Redding,CA
83759,103131,60834,2023,Reno,NV
84332,104474,55990,2023,Richmond,VA
87843,103423,61227,2023,Riverside,CA
65537,76718,49835,2023,Roanoke,VA
85213,101793,46382,2023,Rochester,MN
73294,92011,46819,2023,Rochester,NY
66960,83358,39438,2023,Rockford,IL
61388,74915,47042,2023,Rocky Mount,NC
62098,78457,36356,2023,Rome,GA
94992,119553,62186,2023,Sacramento,CA
59265,70090,31778,2023,Saginaw,MI
73963,93742,42206,2023,St. Cloud,MN
77480,90102,49156,2023,St. George,UT
62682,72620,35603,2023,St. Joseph,MO
78224,95533,46809,2023,St. Louis,MO
74554,96466,47971,2023,Salem,OR
88035,120042,65939,2023,Salinas,CA
70528,82041,52096,2023,Salisbury,MD
94409,115304,64784,2023,Salt Lake City,UT
56569,72366,41395,2023,San Angelo,TX
73195,93313,50389,2023,San Antonio,TX
103674,134511,77495,2023,San Diego,CA
65177,81349,39760,2023,Sandusky,OH
127792,164577,88821,2023,San Francisco,CA
153202,197963,112277,2023,San Jose,CA
27981,35180,17468,2023,San Juan,PR
90670,113788,60475,2023,San Luis Obispo,CA
105631,131373,72054,2023,Santa Cruz,CA
78731,96072,50787,2023,Santa Fe,NM
91197,120223,61301,2023,Santa Maria,CA
100707,124243,75907,2023,Santa Rosa,CA
75196,93674,52946,2023,Savannah,GA
58834,73687,35995,2023,Scranton,PA
110744,138178,77490,2023,Seattle,WA
72920,76234,56789,2023,Sebastian,FL
51165,56892,30967,2023,Sebring,FL
72902,86568,55948,2023,Sheboygan,WI
69019,91161,44164,2023,Sherman,TX
54904,72509,33690,2023,Shreveport,LA
52025,59891,36612,2023,Sierra Vista,AZ
70718,84851,43602,2023,Sioux City,IA
76226,101100,43605,2023,Sioux Falls,SD
76420,89227,39902,2023,Slidell,LA
65834,76934,37282,2023,South Bend,IN
61196,72537,39177,2023,Spartanburg,SC
72819,89218,48363,2023,Spokane,WA
72201,88253,40760,2023,Springfield,IL
66997,93741,35376,2023,Springfield,MA
62921,83014,42298,2023,Springfield,MO
57910,72811,31580,2023,Springfield,OH
69101,96871,36604,2023,State College,PA
63275,76377,44967,2023,Staunton,VA
87418,112030,61188,2023,Stockton,CA
55982,66055,37886,2023,Sumter,SC
73268,94777,41579,2023,Syracuse,NY
63993,90659,39972,2023,Tallahassee,FL
72743,84870,55934,2023,Tampa,FL
50992,64413,33466,2023,Terre Haute,IN
50711,60225,30626,2023,Texarkana,TX
63074,87845,41719,2023,Toledo,OH
65301,81343,41398,2023,Topeka,KS
78073,85525,56836,2023,Traverse City,MI
96152,126582,51759,2023,Trenton,NJ
69758,86598,44749,2023,Tucson,AZ
65561,82940,43366,2023,Tulsa,OK
58193,79927,28298,2023,Tuscaloosa,AL
66078,74530,43129,2023,Twin Falls,ID
72313,84587,49724,2023,Tyler,TX
103131,128492,72730,2023,Urban Honolulu,HI
61799,79690,37394,2023,Utica,NY
54924,74192,30809,2023,Valdosta,GA
100027,123525,65975,2023,Vallejo,CA
69490,82582,50789,2023,Victoria,TX
64908,82378,39397,2023,Vineland,NJ
79325,101556,51149,2023,Virginia Beach,VA
73097,88774,52260,2023,Visalia,CA
62743,83208,36293,2023,Waco,TX
72812,99241,42523,2023,Walla Walla,WA
75680,95203,46319,2023,Warner Robins,GA
121469,155388,79151,2023,Washington,DC
81326,102970,43092,2023,Waterbury,CT
62381,79978,37237,2023,Waterloo,IA
61512,77786,51289,2023,Watertown,NY
74141,84294,45678,2023,Wausau,WI
53422,67521,30691,2023,Weirton,WV
73601,94989,51151,2023,Wenatchee,WA
59180,69622,32068,2023,Wheeling,WV
67434,84977,42084,2023,Wichita,KS
63502,82137,41030,2023,Wichita Falls,TX
74715,80506,43178,2023,Wildwood,FL
62135,77832,33627,2023,Williamsport,PA
76904,89351,51534,2023,Wilmington,NC
81272,97991,55349,2023,Winchester,VA
64406,76290,43606,2023,Winston,NC
94099,121601,51300,2023,Worcester,MA
69525,82616,44335,2023,Yakima,WA
81362,93101,49943,2023,York,PA
51350,64981,31329,2023,Youngstown,OH
77335,91246,57356,2023,Yuba City,CA
62888,70302,47794,2023,Yuma,AZ
63390,86022,43401,2024,Abilene,TX
24351,27390,14776,2024,Aguadilla,PR
71364,89441,41916,2024,Akron,OH
56851,78956,38935,2024,Albany,GA
80422,92330,47347,2024,Albany,OR
86637,112906,52968,2024,Albany,NY
76097,90070,50962,2024,Albuquerque,NM
55909,77030,32850,2024,Alexandria,LA
83974,102509,53361,2024,Allentown,PA
