size_rank,metro_name,state,date,zori
2,Los Angeles,CA,1/31/2015,1739.529369
2,Los Angeles,CA,2/28/2015,1750.819968
2,Los Angeles,CA,3/31/2015,1765.883551
2,Los Angeles,CA,4/30/2015,1780.754656
2,Los Angeles,CA,5/31/2015,1795.593017
2,Los Angeles,CA,6/30/2015,1806.59625
2,Los Angeles,CA,7/31/2015,1819.213519
2,Los Angeles,CA,8/31/2015,1829.200167
2,Los Angeles,CA,9/30/2015,1839.263076
2,Los Angeles,CA,10/31/2015,1843.994248
2,Los Angeles,CA,11/30/2015,1848.855293
2,Los Angeles,CA,12/31/2015,1854.640608
2,Los Angeles,CA,1/31/2016,1864.5749
2,Los Angeles,CA,2/29/2016,1874.86764
2,Los Angeles,CA,3/31/2016,1885.693918
2,Los Angeles,CA,4/30/2016,1895.917254
2,Los Angeles,CA,5/31/2016,1909.328689
2,Los Angeles,CA,6/30/2016,1921.871423
2,Los Angeles,CA,7/31/2016,1933.95921
2,Los Angeles,CA,8/31/2016,1939.970801
2,Los Angeles,CA,9/30/2016,1945.080696
2,Los Angeles,CA,10/31/2016,1945.957737
2,Los Angeles,CA,11/30/2016,1948.391044
2,Los Angeles,CA,12/31/2016,1951.137087
2,Los Angeles,CA,1/31/2017,1964.673656
2,Los Angeles,CA,2/28/2017,1980.837537
2,Los Angeles,CA,3/31/2017,2002.563416
2,Los Angeles,CA,4/30/2017,2016.170076
2,Los Angeles,CA,5/31/2017,2029.650056
2,Los Angeles,CA,6/30/2017,2038.29083
2,Los Angeles,CA,7/31/2017,2048.222395
2,Los Angeles,CA,8/31/2017,2053.409963
2,Los Angeles,CA,9/30/2017,2058.524025
2,Los Angeles,CA,10/31/2017,2059.012461
2,Los Angeles,CA,11/30/2017,2063.220952
2,Los Angeles,CA,12/31/2017,2067.588648
2,Los Angeles,CA,1/31/2018,2078.474785
2,Los Angeles,CA,2/28/2018,2090.633904
2,Los Angeles,CA,3/31/2018,2101.055754
2,Los Angeles,CA,4/30/2018,2109.621216
2,Los Angeles,CA,5/31/2018,2117.155186
2,Los Angeles,CA,6/30/2018,2128.845352
2,Los Angeles,CA,7/31/2018,2139.022281
2,Los Angeles,CA,8/31/2018,2147.8337
2,Los Angeles,CA,9/30/2018,2151.523335
2,Los Angeles,CA,10/31/2018,2155.368764
2,Los Angeles,CA,11/30/2018,2160.77095
2,Los Angeles,CA,12/31/2018,2166.261254
2,Los Angeles,CA,1/31/2019,2171.398044
2,Los Angeles,CA,2/28/2019,2175.155712
2,Los Angeles,CA,3/31/2019,2186.488571
2,Los Angeles,CA,4/30/2019,2197.044224
2,Los Angeles,CA,5/31/2019,2209.701296
2,Los Angeles,CA,6/30/2019,2218.844311
2,Los Angeles,CA,7/31/2019,2227.197819
2,Los Angeles,CA,8/31/2019,2232.57103
2,Los Angeles,CA,9/30/2019,2235.485853
2,Los Angeles,CA,10/31/2019,2237.040032
2,Los Angeles,CA,11/30/2019,2240.02563
2,Los Angeles,CA,12/31/2019,2243.948651
2,Los Angeles,CA,1/31/2020,2251.497885
2,Los Angeles,CA,2/29/2020,2256.316313
2,Los Angeles,CA,3/31/2020,2256.31357
2,Los Angeles,CA,4/30/2020,2245.110275
2,Los Angeles,CA,5/31/2020,2235.869692
2,Los Angeles,CA,6/30/2020,2231.44898
2,Los Angeles,CA,7/31/2020,2233.692045
2,Los Angeles,CA,8/31/2020,2233.0584
2,Los Angeles,CA,9/30/2020,2231.602318
2,Los Angeles,CA,10/31/2020,2231.739369
2,Los Angeles,CA,11/30/2020,2233.234895
2,Los Angeles,CA,12/31/2020,2233.445139
2,Los Angeles,CA,1/31/2021,2243.659001
2,Los Angeles,CA,2/28/2021,2254.721901
2,Los Angeles,CA,3/31/2021,2269.398875
2,Los Angeles,CA,4/30/2021,2280.400306
2,Los Angeles,CA,5/31/2021,2299.25632
2,Los Angeles,CA,6/30/2021,2332.752335
2,Los Angeles,CA,7/31/2021,2376.433556
2,Los Angeles,CA,8/31/2021,2426.949199
2,Los Angeles,CA,9/30/2021,2465.262149
2,Los Angeles,CA,10/31/2021,2489.898063
2,Los Angeles,CA,11/30/2021,2504.099001
2,Los Angeles,CA,12/31/2021,2521.007029
2,Los Angeles,CA,1/31/2022,2539.916768
2,Los Angeles,CA,2/28/2022,2564.686294
2,Los Angeles,CA,3/31/2022,2589.017133
2,Los Angeles,CA,4/30/2022,2618.523591
2,Los Angeles,CA,5/31/2022,2642.547177
2,Los Angeles,CA,6/30/2022,2666.06418
2,Los Angeles,CA,7/31/2022,2684.907786
2,Los Angeles,CA,8/31/2022,2699.189095
2,Los Angeles,CA,9/30/2022,2704.509728
2,Los Angeles,CA,10/31/2022,2699.770568
2,Los Angeles,CA,11/30/2022,2694.337147
2,Los Angeles,CA,12/31/2022,2687.298807
2,Los Angeles,CA,1/31/2023,2686.753007
2,Los Angeles,CA,2/28/2023,2691.070297
2,Los Angeles,CA,3/31/2023,2705.178
2,Los Angeles,CA,4/30/2023,2715.38199
2,Los Angeles,CA,5/31/2023,2725.097462
2,Los Angeles,CA,6/30/2023,2732.149806
2,Los Angeles,CA,7/31/2023,2745.029541
2,Los Angeles,CA,8/31/2023,2754.968373
2,Los Angeles,CA,9/30/2023,2757.934594
2,Los Angeles,CA,10/31/2023,2755.015004
2,Los Angeles,CA,11/30/2023,2745.724415
2,Los Angeles,CA,12/31/2023,2740.485971
2,Los Angeles,CA,1/31/2024,2744.274687
2,Los Angeles,CA,2/29/2024,2754.444102
2,Los Angeles,CA,3/31/2024,2767.063861
2,Los Angeles,CA,4/30/2024,2775.888908
2,Los Angeles,CA,5/31/2024,2786.767356
2,Los Angeles,CA,6/30/2024,2798.213636
2,Los Angeles,CA,7/31/2024,2810.204747
2,Los Angeles,CA,8/31/2024,2816.771026
2,Los Angeles,CA,9/30/2024,2820.981084
2,Los Angeles,CA,10/31/2024,2817.885661
2,Los Angeles,CA,11/30/2024,2813.327281
2,Los Angeles,CA,12/31/2024,2806.985259
12,San Francisco,CA,1/31/2015,2195.249294
12,San Francisco,CA,2/28/2015,2205.8921
12,San Francisco,CA,3/31/2015,2236.696261
12,San Francisco,CA,4/30/2015,2272.260511
12,San Francisco,CA,5/31/2015,2303.591931
12,San Francisco,CA,6/30/2015,2337.175563
12,San Francisco,CA,7/31/2015,2363.380999
12,San Francisco,CA,8/31/2015,2387.18107
