"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Total","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Total","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Renter occupied (dollars)",
"310M300US10180","Abilene, TX Metro Area","48016","4309","59581","4683","35739","2673",
"310M300US10380","Aguadilla-Isabela, PR Metro Area","14546","797","19275","1177","9058","965",
"310M300US10420","Akron, OH Metro Area","51598","1092","65972","1860","30205","1711",
"310M300US10500","Albany, GA Metro Area","40667","3796","59823","3439","25801","1848",
"310M300US10540","Albany, OR Metro Area","51310","4689","61880","4523","40538","7907",
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","65855","2050","86892","2349","38964","3343",
"310M300US10740","Albuquerque, NM Metro Area","50954","959","62465","1829","29560","1455",
"310M300US10780","Alexandria, LA Metro Area","42136","3674","61250","4645","26056","1832",
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","63022","1436","78273","1876","38429","3140",
"310M300US11020","Altoona, PA Metro Area","43443","3931","55295","4846","30544","3281",
"310M300US11100","Amarillo, TX Metro Area","54478","3541","70783","2976","36038","2912",
"310M300US11180","Ames, IA Metro Area","53371","4519","90535","11649","25373","4500",
"310M300US11260","Anchorage, AK Metro Area","82203","2269","103537","3329","53864","3260",
"310M300US11460","Ann Arbor, MI Metro Area","65601","2780","97275","2999","36252","2572",
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","41687","3903","50306","5534","28904","9827",
"310M300US11540","Appleton, WI Metro Area","63902","3756","76966","2118","36392","3253",
"310M300US11640","Arecibo, PR Metro Area","18428","1712","22041","1747","10143","1469",
"310M300US11700","Asheville, NC Metro Area","50541","1498","58437","1830","32555","3276",
"310M300US12020","Athens-Clarke County, GA Metro Area","43165","2654","66920","6529","26344","3020",
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","62613","890","80432","995","41745","746",
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","56778","4087","75330","4451","32266","4508",
"310M300US12220","Auburn-Opelika, AL Metro Area","48056","3169","63467","7148","33892","5435",
"310M300US12260","Augusta-Richmond County, GA-SC Metro Area","48543","2304","62498","2499","31419","3108",
"310M300US12420","Austin-Round Rock, TX Metro Area","71000","944","97198","1328","49657","1572",
"310M300US12540","Bakersfield, CA Metro Area","49903","1490","68745","3008","32263","1964",
"310M300US12580","Baltimore-Columbia-Towson, MD Metro Area","76788","1312","97090","1687","46573","1447",
"310M300US12620","Bangor, ME Metro Area","47328","2968","55801","2372","27309","4239",
"310M300US12700","Barnstable Town, MA Metro Area","67898","2935","76311","2986","40952","9672",
"310M300US12940","Baton Rouge, LA Metro Area","52487","2322","69354","2741","31319","1837",
"310M300US12980","Battle Creek, MI Metro Area","45902","2822","57539","4864","23433","3995",
"310M300US13020","Bay City, MI Metro Area","44756","3736","51413","3214","23017","7488",
"310M300US13140","Beaumont-Port Arthur, TX Metro Area","49364","2632","62365","3778","31800","2235",
"310M300US13220","Beckley, WV Metro Area","44178","4301","55770","3787","19845","4178",
"310M300US13380","Bellingham, WA Metro Area","56411","4819","74432","5322","36058","4174",
"310M300US13460","Bend-Redmond, OR Metro Area","61870","3790","71778","5560","47358","7602",
"310M300US13740","Billings, MT Metro Area","58037","3300","66971","4500","37454","4731",
"310M300US13780","Binghamton, NY Metro Area","51360","2089","66654","3034","25284","3461",
"310M300US13820","Birmingham-Hoover, AL Metro Area","52226","990","66182","1680","31082","1466",
"310M300US13900","Bismarck, ND Metro Area","65527","4700","81813","3531","45802","2340",
"310M300US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","50950","1742","64121","6597","29992","6964",
"310M300US14010","Bloomington, IL Metro Area","61320","3698","80360","4913","36548","3055",
"310M300US14020","Bloomington, IN Metro Area","43693","2834","63723","3441","25348","4177",
"310M300US14100","Bloomsburg-Berwick, PA Metro Area","50038","3491","61224","3398","31116","4271",
"310M300US14260","Boise City, ID Metro Area","55162","1774","66872","1569","35372","1979",
"310M300US14460","Boston-Cambridge-Newton, MA-NH Metro Area","82380","1171","108319","1770","48273","1534",
"310M300US14500","Boulder, CO Metro Area","74615","3337","100526","4998","43154","2212",
"310M300US14540","Bowling Green, KY Metro Area","45649","1837","55620","2629","27867","3387",
"310M300US14740","Bremerton-Silverdale, WA Metro Area","69171","3935","80860","3459","49729","3526",
"310M300US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","90123","2925","120036","3536","47839","2818",
"310M300US15180","Brownsville-Harlingen, TX Metro Area","37061","2142","46523","3332","22277","2039",
"310M300US15260","Brunswick, GA Metro Area","46014","3616","55316","6975","30806","4006",
"310M300US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","53487","1293","72166","1714","29720","2010",
"310M300US15500","Burlington, NC Metro Area","45100","2609","58074","5157","30407","6730",
"310M300US15540","Burlington-South Burlington, VT Metro Area","66367","3961","84484","5637","38621","6133",
"310M300US15680","California-Lexington Park, MD Metro Area","78195","7763","92152","10573","54265","12558",
"310M300US15940","Canton-Massillon, OH Metro Area","50811","1505","61991","2520","30954","2835",
"310M300US15980","Cape Coral-Fort Myers, FL Metro Area","52909","1336","60160","2456","38325","3786",
"310M300US16020","Cape Girardeau, MO-IL Metro Area","49059","2906","57403","5550","32423","6647",
"310M300US16060","Carbondale-Marion, IL Metro Area","41603","3596","58917","4390","21830","2203",
"310M300US16180","Carson City, NV Metro Area","52196","4516","62368","7572","43093","11889",
"310M300US16220","Casper, WY Metro Area","59474","5172","74146","6057","34397","5141",
"310M300US16300","Cedar Rapids, IA Metro Area","63385","3376","77035","2888","34231","4700",
"310M300US16540","Chambersburg-Waynesboro, PA Metro Area","60559","4205","69179","3914","40871","5587",
"310M300US16580","Champaign-Urbana, IL Metro Area","50564","2362","76457","5039","28655","3846",
"310M300US16620","Charleston, WV Metro Area","41689","3122","55256","3088","22518","3523",
"310M300US16700","Charleston-North Charleston, SC Metro Area","57659","1763","70021","2331","38218","3282",
"310M300US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","59979","1223","73771","1397","39816","1599",
"310M300US16820","Charlottesville, VA Metro Area","62523","3294","78881","8009","42117","2886",
"310M300US16860","Chattanooga, TN-GA Metro Area","46537","1724","60724","2226","28970","2516",
"310M300US16940","Cheyenne, WY Metro Area","62221","5272","71356","3784","45073","10224",
"310M300US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","66020","578","85614","669","40334","478",
"310M300US17020","Chico, CA Metro Area","45177","3768","66057","5631","27051","3278",
"310M300US17140","Cincinnati, OH-KY-IN Metro Area","60260","1049","78401","1308","33168","1957",
"310M300US17300","Clarksville, TN-KY Metro Area","51373","2057","66052","3130","37338","3499",
"310M300US17420","Cleveland, TN Metro Area","44881","2913","55705","6623","32794","5264",
"310M300US17460","Cleveland-Elyria, OH Metro Area","52131","631","69109","1267","30029","900",
"310M300US17660","Coeur d'Alene, ID Metro Area","51765","2515","65470","5662","36280","4858",
"310M300US17780","College Station-Bryan, TX Metro Area","42233","2728","76003","5560","27069","2862",
"310M300US17820","Colorado Springs, CO Metro Area","63651","2297","81205","1799","41476","2081",
"310M300US17860","Columbia, MO Metro Area","52752","4636","80008","3954","31809","3472",
"310M300US17900","Columbia, SC Metro Area","52247","1476","64031","2626","34126","2634",
"310M300US17980","Columbus, GA-AL Metro Area","43412","3072","61019","4062","31055","2067",
"310M300US18020","Columbus, IN Metro Area","59102","5718","63574","4097","39614","9875",
"310M300US18140","Columbus, OH Metro Area","60294","1005","80304","1373","37052","1251",
"310M300US18580","Corpus Christi, TX Metro Area","53775","2305","66738","2587","37335","3342",
"310M300US18700","Corvallis, OR Metro Area","55459","3522","83083","8463","28886","3964",
"310M300US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","58624","3449","71670","2717","37266","4489",
"310M300US19060","Cumberland, MD-WV Metro Area","45808","2255","54550","4627","25219","5032",
"310M300US19100","Dallas-Fort Worth-Arlington, TX Metro Area","63812","923","85419","1440","43434","1058",
"310M300US19140","Dalton, GA Metro Area","43348","4941","52775","3520","30707","2524",
"310M300US19180","Danville, IL Metro Area","45481","3398","54809","4314","20467","3650",
"310M300US19300","Daphne-Fairhope-Foley, AL Metro Area","56732","3829","66634","4931","37358","6899",
"310M300US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","52590","2232","66506","3133","29346","2304",
"310M300US19380","Dayton, OH Metro Area","51427","1342","67929","1725","30154","1608",
"310M300US19460","Decatur, AL Metro Area","44575","5260","51052","3123","28537","8270",
"310M300US19500","Decatur, IL Metro Area","46198","4254","61687","3593","21274","2656",
"310M300US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","46090","1553","51755","1219","31944","1961",
"310M300US19740","Denver-Aurora-Lakewood, CO Metro Area","71926","781","91006","1070","47559","1390",
"310M300US19780","Des Moines-West Des Moines, IA Metro Area","65704","2050","82215","2128","37799","3184",
"310M300US19820","Detroit-Warren-Dearborn, MI Metro Area","56142","588","71364","743","32313","619",
"310M300US20020","Dothan, AL Metro Area","41040","2343","51678","2460","26757","2379",
"310M300US20100","Dover, DE Metro Area","54140","3724","63219","4328","36949","3903",
"310M300US20220","Dubuque, IA Metro Area","60456","4069","75914","2188","31635","6606",
"310M300US20260","Duluth, MN-WI Metro Area","51294","1874","63158","2366","28720","2058",
"310M300US20500","Durham-Chapel Hill, NC Metro Area","56182","1594","80891","2590","36014","1817",
"310M300US20700","East Stroudsburg, PA Metro Area","60095","5816","65591","4972","46777","9611",
"310M300US20740","Eau Claire, WI Metro Area","51058","3864","66448","3940","31992","2542",
"310M300US20940","El Centro, CA Metro Area","49095","6911","61517","2682","25832","6005",
"310M300US21060","Elizabethtown-Fort Knox, KY Metro Area","51936","3176","63937","3355","36901","4742",
"310M300US21140","Elkhart-Goshen, IN Metro Area","54216","3235","66149","4387","34530","5425",
"310M300US21300","Elmira, NY Metro Area","51269","2894","69287","3965","25252","5572",
"310M300US21340","El Paso, TX Metro Area","42116","1605","55243","2027","29148","2058",
"310M300US21420","Enid, OK Metro Area","50288","4967","56867","6603","38256","12123",
"310M300US21500","Erie, PA Metro Area","48964","2297","61535","1767","28648","3001",
