size_rank,year,avg_monthly_rent,avg_annual_rent
0,2015,1171.31010291667,14055.721235
0,2016,1218.71608925,14624.593071
0,2017,1269.00448633333,15228.053836
0,2018,1321.40097183333,15856.811662
0,2019,1376.07922483333,16512.950698
0,2020,1412.14582916667,16945.74995
0,2021,1532.172546,18386.070552
0,2022,1718.94392975,20627.327157
0,2023,1789.53662508333,21474.439501
0,2024,1841.85597458333,22102.271695
1,2015,2253.50790441667,27042.094853
1,2016,2310.3110915,27723.733098
1,2017,2352.01101141667,28224.132137
1,2018,2397.56309333333,28770.75712
1,2019,2470.72849166667,29648.7419
1,2020,2413.18126875,28958.175225
1,2021,2453.74394525,29444.927343
1,2022,2859.10809341667,34309.297121
1,2023,3010.30964791667,36123.715775
1,2024,3128.6896935,37544.276322
2,2015,1806.19531016667,21674.343722
2,2016,1918.06253325,23016.750399
2,2017,2031.84700125,24382.164015
2,2018,2128.88054008333,25546.566481
2,2019,2214.57509775,26574.901173
2,2020,2239.44407341667,26873.328881
2,2021,2371.98647791667,28463.837735
2,2022,2649.2306895,31790.768274
2,2023,2729.565705,32754.78846
2,2024,2792.73396733333,33512.807608
3,2015,1407.30686716667,16887.682406
3,2016,1448.48574658333,17381.828959
3,2017,1485.67177525,17828.061303
3,2018,1521.77339558333,18261.280747
3,2019,1564.95537541667,18779.464505
3,2020,1576.90005683333,18922.800682
3,2021,1626.86695216667,19522.403426
3,2022,1782.25953766667,21387.114452
3,2023,1894.36695975,22732.403517
3,2024,1992.02513158333,23904.301579
4,2015,1083.8622815,13006.347378
4,2016,1137.14935925,13645.792311
4,2017,1193.0486935,14316.584322
4,2018,1238.05230425,14856.627651
4,2019,1283.49087041667,15401.890445
4,2020,1310.60984725,15727.318167
4,2021,1439.76789075,17277.214689
4,2022,1623.55482358333,19482.657883
4,2023,1652.3959375,19828.75125
4,2024,1646.05661816667,19752.679418
5,2015,1214.50913016667,14574.109562
5,2016,1224.58173566667,14694.980828
5,2017,1242.70625491667,14912.475059
5,2018,1288.41020458333,15460.922455
5,2019,1310.33191208333,15723.982945
5,2020,1328.57510483333,15942.901258
5,2021,1414.69336333333,16976.32036
5,2022,1536.81460883333,18441.775306
5,2023,1580.61708716667,18967.405046
5,2024,1607.5545285,19290.654342
6,2015,1698.64704958333,20383.764595
6,2016,1728.39384625,20740.726155
6,2017,1769.1912935,21230.295522
6,2018,1812.28779441667,21747.453533
6,2019,1869.896921,22438.763052
6,2020,1881.98296483333,22583.795578
6,2021,1940.394465,23284.73358
6,2022,2111.18146316667,25334.177558
6,2023,2193.34756275,26320.170753
6,2024,2289.27147683333,27471.257722
7,2015,1208.81455016667,14505.774602
7,2016,1241.1409745,14893.691694
7,2017,1280.01299466667,15360.155936
7,2018,1322.66294183333,15871.955302
7,2019,1374.68541908333,16496.225029
7,2020,1417.00797375,17004.095685
7,2021,1508.59814966667,18103.177796
7,2022,1646.24493225,19754.939187
7,2023,1706.61551108333,20479.386133
7,2024,1768.71637475,21224.596497
8,2015,1507.00393516667,18084.047222
8,2016,1561.45337275,18737.440473
8,2017,1601.61656883333,19219.398826
8,2018,1649.5335415,19794.402498
8,2019,1697.08830325,20365.059639
8,2020,1739.89032333333,20878.68388
8,2021,2022.44349775,24269.321973
8,2022,2479.05996808333,29748.719617
8,2023,2575.87646558333,30910.517587
8,2024,2620.4744705,31445.693646
9,2015,1018.79104881667,12225.4925858
9,2016,1076.97186475,12923.662377
9,2017,1144.87946833333,13738.55362
9,2018,1216.66661283333,14599.999354
9,2019,1291.27048016667,15495.245762
9,2020,1353.71597483333,16244.591698
9,2021,1549.14882125,18589.785855
9,2022,1728.84259408333,20746.111129
9,2023,1761.66012466667,21139.921496
9,2024,1766.89082316667,21202.689878
10,2015,2087.19852733333,25046.382328
10,2016,2168.78162425,26025.379491
10,2017,2247.91303425,26974.956411
10,2018,2325.64392158333,27907.727059
10,2019,2402.88053316667,28834.566398
10,2020,2390.112892,28681.354704
10,2021,2445.16773033333,29342.012764
10,2022,2707.66055758333,32491.926691
10,2023,2887.21399575,34646.567949
10,2024,3009.04439091667,36108.532691
11,2015,949.19680975,11390.361717
11,2016,1000.63870539167,12007.6644647
11,2017,1061.72290633333,12740.674876
11,2018,1136.46574733333,13637.588968
11,2019,1227.27369058333,14727.284287
11,2020,1317.868605,15814.42326
11,2021,1552.47863975,18629.743677
11,2022,1738.21100208333,20858.532025
11,2023,1742.51536308333,20910.184357
11,2024,1746.64476883333,20959.737226
12,2015,2326.85520308333,27922.262437
12,2016,2466.69754641667,29600.370557
12,2017,2545.93162758333,30551.179531
12,2018,2640.72205716667,31688.664686
12,2019,2720.68711025,32648.245323
12,2020,2669.462906,32033.554872
12,2021,2639.0713725,31668.85647
12,2022,2829.3844925,33952.61391
12,2023,2853.89696408333,34246.763569
12,2024,2894.9594575,34739.51349
13,2015,1317.39628933333,15808.755472
13,2016,1382.97112141667,16595.653457
13,2017,1471.74880666667,17660.98568
13,2018,1562.95564325,18755.467719
13,2019,1645.49674275,19745.960913
13,2020,1740.21494316667,20882.579318
13,2021,2022.86313258333,24274.357591
13,2022,2266.37998633333,27196.559836
13,2023,2329.13596033333,27949.631524
13,2024,2390.93974491667,28691.276939
14,2015,868.021398033333,10416.2567764
14,2016,897.632714658333,10771.5925759
14,2017,939.507238283333,11274.0868594
14,2018,980.987112758333,11771.8453531
14,2019,1024.53054328333,12294.3665194
14,2020,1073.31261766667,12879.751412
14,2021,1191.34222383333,14296.106686
14,2022,1299.84372433333,15598.124692
14,2023,1341.55248141667,16098.629777
14,2024,1400.92044525,16811.045343
15,2015,1376.26760041667,16515.211205
15,2016,1479.90000141667,17758.800017
15,2017,1590.20857725,19082.502927
15,2018,1653.53619008333,19842.434281
15,2019,1720.70625916667,20648.47511
15,2020,1750.87121433333,21010.454572
15,2021,1826.51394008333,21918.167281
15,2022,2024.91740425,24299.008851
15,2023,2060.74814583333,24728.97775
15,2024,2123.91433625,25486.972035
16,2015,1135.408728,13624.904736
16,2016,1181.41597316667,14176.991678
16,2017,1241.95680466667,14903.481656
