size_rank,metro_name,state
0,United States,
1,New York,NY
2,Los Angeles,CA
3,Chicago,IL
4,Dallas,TX
5,Houston,TX
6,Washington,VA
7,Philadelphia,PA
8,Miami,FL
9,Atlanta,GA
10,Boston,MA
11,Phoenix,AZ
12,San Francisco,CA
13,Riverside,CA
14,Detroit,MI
15,Seattle,WA
16,Minneapolis,MN
17,San Diego,CA
18,Tampa,FL
19,Denver,CO
20,Baltimore,MD
21,St. Louis,MO
22,Orlando,FL
23,Charlotte,NC
24,San Antonio,TX
25,Portland,OR
26,Sacramento,CA
27,Pittsburgh,PA
28,Cincinnati,OH
29,Austin,TX
30,Las Vegas,NV
31,Kansas City,MO
32,Columbus,OH
34,Indianapolis,IN
35,Cleveland,OH
36,San Jose,CA
37,Nashville,TN
38,Virginia Beach,VA
39,Providence,RI
40,Jacksonville,FL
41,Milwaukee,WI
42,Oklahoma City,OK
43,Raleigh,NC
44,Memphis,TN
45,Richmond,VA
46,Louisville,KY
47,New Orleans,LA
48,Salt Lake City,UT
49,Hartford,CT
50,Buffalo,NY
